state,district,N,P,K,pH,organic_carbon,soil_moisture,soil_type,temperature_c,humidity_pct,rainfall_mm,wind_speed_ms,solar_radiation_wm2,evapotranspiration_mm,crop
West Bengal,Birbhum,82.0,50.5,24.4,5.7,0.71,30.2,Loamy,22.1,67.2,62.4,4.49,184.26,4.93,Maize
Karnataka,Bagalkot,56.4,51.6,38.2,7.41,0.66,21.1,Red Soil,25.5,46.8,57.2,3.7,251.53,7.32,Sunflower
Telangana,Suryapet,86.2,58.1,22.1,5.77,0.41,29.9,Red Soil,26.5,66.4,76.7,4.61,181.23,4.26,Maize
Maharashtra,Thane,40.1,39.1,26.3,6.52,0.49,21.7,Silty,31.4,48.3,52.8,3.5,198.2,4.38,Sorghum
Karnataka,Chitradurga,38.5,42.4,27.5,6.37,0.38,20.3,Silty,26.7,45.2,38.8,3.0,188.52,4.15,Sorghum
Punjab,Fatehgarh Sahib,52.9,61.1,54.6,6.29,0.34,33.1,Sandy,20.8,73.6,56.0,1.78,187.89,2.81,Tomato
Bihar,Sheikhpura,36.2,55.8,56.6,5.76,0.41,24.7,Clayey,26.0,54.8,58.8,3.31,268.47,6.74,Mirchi
West Bengal,Cooch Behar,138.3,40.7,23.5,6.87,0.5,33.2,Clayey,28.2,73.7,95.1,4.17,197.49,4.97,Cotton
Uttar Pradesh,Raebareli,39.0,46.1,26.9,6.76,0.55,17.4,Silty,27.7,38.6,48.6,2.17,188.75,4.21,Sorghum
Maharashtra,Pune,52.6,45.6,63.9,6.06,0.39,30.0,Black Cotton,15.9,66.6,50.6,1.92,188.28,3.64,Onion
Uttar Pradesh,Baghpat,57.0,42.7,35.5,5.62,0.5,25.9,Silty,22.8,57.5,73.7,1.97,182.11,2.65,Tobacco
Bihar,Gopalganj,51.1,64.4,41.0,7.12,0.63,25.6,Black Cotton,27.4,56.8,51.4,4.42,247.44,7.91,Sunflower
Punjab,Gurdaspur,103.2,89.9,49.7,6.56,0.63,36.0,Clayey,25.1,80.1,106.2,4.4,235.19,7.42,Banana
Bihar,Araria,83.9,54.8,36.2,6.18,0.48,37.3,Silty,21.2,82.9,251.6,5.28,188.95,4.89,Rice
West Bengal,Alipurduar,17.2,23.2,22.7,5.29,0.71,11.2,Loamy,29.0,25.0,35.3,3.0,214.93,4.22,Ragi
Maharashtra,Pune,40.2,45.8,44.0,5.84,0.63,20.4,Clayey,30.3,45.3,83.7,2.67,210.09,5.7,Groundnut
Telangana,Jangaon,54.9,50.3,44.7,5.28,0.53,24.6,Clayey,14.8,54.7,65.9,1.78,180.33,3.41,Potato
Karnataka,Raichur,102.7,81.0,54.4,5.86,0.37,36.5,Black Cotton,29.7,81.1,102.0,4.05,255.64,6.16,Banana
Tamil Nadu,Tiruvannamalai,53.3,46.9,56.1,6.16,0.56,33.4,Silty,18.9,74.3,82.8,1.44,186.12,3.19,Tomato
Karnataka,Dakshina Kannada,32.8,65.3,38.2,6.43,0.57,30.7,Silty,15.3,68.3,42.2,1.74,158.66,3.73,Wheat
Andhra Pradesh,Srikakulam,39.4,21.2,25.9,5.16,0.74,44.1,Silty,28.5,97.9,227.8,4.3,273.6,6.54,Coconut
Bihar,Khagaria,31.4,16.6,26.0,6.05,0.31,42.3,Black Cotton,28.8,94.1,141.4,5.36,266.97,7.83,Coconut
Maharashtra,Buldhana,39.7,46.6,29.5,5.98,0.73,16.9,Silty,16.0,37.5,56.7,1.8,182.47,2.99,Mustard
Bihar,Sheohar,65.7,60.5,37.4,6.93,0.51,21.4,Black Cotton,27.2,47.6,54.1,4.85,247.29,7.61,Sunflower
Bihar,Lakhisarai,63.1,55.8,38.4,7.35,0.4,24.2,Black Cotton,28.7,53.7,52.7,5.92,246.86,7.29,Sunflower
Telangana,Mahabubnagar,37.4,48.6,28.3,5.9,0.58,21.6,Clayey,13.7,48.0,38.5,1.94,161.94,3.97,Mustard
Andhra Pradesh,Chittoor,10.2,31.0,20.7,5.8,0.5,12.7,Clayey,34.0,28.2,30.7,3.94,207.51,5.09,Ragi
Punjab,Moga,79.9,55.6,38.8,5.81,0.56,39.9,Sandy,26.8,88.7,273.6,3.5,189.63,4.74,Rice
Uttar Pradesh,Saharanpur,29.6,70.0,21.4,7.48,0.64,30.2,Loamy,30.3,67.1,74.9,2.87,210.21,5.88,Urad
Telangana,Bhadradri Kothagudem,64.8,58.8,41.2,7.48,0.78,26.8,Loamy,26.0,59.6,62.8,4.74,231.44,6.54,Sunflower
Bihar,Bhojpur,20.5,35.9,19.3,5.95,0.6,11.6,Laterite,30.2,25.8,51.9,5.27,196.79,4.42,Ragi
Rajasthan,Ajmer,10.8,22.7,15.7,6.52,0.77,15.7,Clayey,25.5,34.8,42.2,4.96,181.52,4.16,Bajra
West Bengal,Alipurduar,55.6,30.8,36.3,5.93,0.56,29.6,Red Soil,24.0,65.7,85.5,1.29,155.59,3.56,Tobacco
Maharashtra,Aurangabad,31.2,61.5,27.0,6.83,0.44,21.1,Red Soil,26.5,46.8,83.3,5.21,207.94,5.91,Toor
Bihar,Madhepura,95.1,50.3,46.2,7.09,0.36,37.5,Laterite,26.4,83.3,151.7,4.48,182.86,4.56,Sugarcane
Tamil Nadu,Tiruppur,23.1,53.0,20.7,6.36,0.63,20.7,Laterite,10.6,45.9,48.0,1.66,185.66,3.34,Mustard
Rajasthan,Barmer,23.7,47.6,26.2,6.02,0.79,29.1,Silty,25.8,64.7,62.5,3.56,207.83,5.36,Moong
Tamil Nadu,Krishnagiri,64.7,59.1,35.1,7.24,0.56,25.0,Clayey,29.0,55.5,40.6,3.63,264.83,6.7,Sunflower
Andhra Pradesh,Nandyal,72.4,48.3,20.4,6.71,0.52,25.2,Red Soil,22.3,56.0,86.7,3.22,217.13,4.81,Maize
Uttar Pradesh,Chandauli,39.3,32.9,26.5,6.6,0.68,14.2,Loamy,33.7,31.6,40.0,3.05,193.07,4.28,Sorghum
Rajasthan,Udaipur,97.2,82.8,47.8,5.9,0.65,35.7,Black Cotton,29.2,79.3,116.7,5.37,240.82,8.04,Banana
Tamil Nadu,Thiruvarur,26.3,25.3,13.9,6.43,0.71,9.7,Red Soil,27.1,21.5,41.7,2.94,218.48,4.03,Bajra
West Bengal,Cooch Behar,47.6,62.9,37.4,6.9,0.53,18.7,Silty,29.9,41.5,52.1,3.85,210.96,5.07,Soybean
Rajasthan,Bundi,23.1,31.9,24.7,6.32,0.56,12.0,Black Cotton,33.6,26.7,56.9,3.42,189.25,4.67,Ragi
Maharashtra,Thane,60.3,51.0,43.8,5.67,0.49,36.4,Silty,24.4,80.8,238.0,4.81,186.0,4.78,Rice
Uttar Pradesh,Mahoba,30.2,24.9,32.3,5.09,0.63,44.1,Red Soil,26.4,98.1,151.8,5.06,269.62,6.74,Coconut
Punjab,SBS Nagar,39.6,69.7,44.8,5.73,0.68,22.3,Red Soil,25.6,49.5,77.1,3.94,270.65,7.08,Mirchi
West Bengal,Darjeeling,31.1,31.7,33.4,6.88,0.41,19.0,Red Soil,31.7,42.2,37.8,2.29,180.16,4.31,Sorghum
Telangana,Sangareddy,67.0,46.8,42.0,5.53,0.68,39.0,Clayey,22.0,86.6,207.3,2.61,213.8,5.92,Rice
Telangana,Jayashankar Bhoopalpally,11.5,29.0,23.8,5.1,0.51,16.7,Silty,30.7,37.2,37.1,3.41,183.19,4.56,Ragi
Tamil Nadu,Thanjavur,69.2,51.8,22.1,6.91,0.63,26.5,Red Soil,20.4,58.9,80.4,3.76,186.45,4.45,Maize
Rajasthan,Bharatpur,49.4,30.4,25.5,6.06,0.77,18.7,Black Cotton,26.8,41.5,39.6,3.85,190.51,4.31,Sorghum
Rajasthan,Pali,17.9,30.5,20.1,5.6,0.72,14.8,Red Soil,33.9,32.8,31.1,4.59,206.37,4.53,Ragi
Punjab,Faridkot,121.5,57.4,28.0,7.22,0.31,31.9,Silty,28.2,70.9,96.1,3.38,194.94,4.42,Cotton
Punjab,Bathinda,15.5,59.3,28.2,6.24,0.43,28.4,Clayey,27.5,63.2,52.8,2.75,212.42,4.77,Urad
Punjab,SBS Nagar,12.9,23.1,18.3,6.03,0.39,13.7,Loamy,31.5,30.5,38.2,4.9,197.42,5.46,Bajra
Uttar Pradesh,Rampur,60.8,49.6,58.3,6.1,0.5,29.8,Sandy,17.1,66.3,50.3,1.64,164.46,3.44,Onion
West Bengal,Jhargram,27.4,21.5,29.0,5.66,0.47,41.4,Silty,25.1,91.9,166.7,3.91,247.75,7.31,Coconut
Uttar Pradesh,Mainpuri,24.0,66.7,41.9,6.84,0.62,9.1,Sandy,22.7,20.3,44.2,2.41,157.15,3.79,Bengal Gram
Bihar,Vaishali,52.5,47.3,56.5,6.19,0.45,25.1,Sandy,24.4,55.8,42.1,1.29,154.26,3.13,Onion
Tamil Nadu,Chennai,20.8,32.7,18.5,6.0,0.3,10.4,Black Cotton,31.0,23.1,25.9,3.29,209.41,5.74,Bajra
Tamil Nadu,Kancheepuram,53.5,30.2,49.4,5.9,0.56,29.4,Silty,24.4,65.4,87.4,1.83,151.59,3.82,Tobacco
Telangana,Medchal Malkajgiri,48.7,33.7,27.7,6.09,0.33,13.8,Silty,30.7,30.6,57.8,3.99,180.96,4.27,Sorghum
Rajasthan,Bhilwara,90.5,77.8,54.2,6.24,0.61,34.2,Laterite,29.8,76.0,96.4,4.55,257.54,7.6,Banana
Punjab,Patiala,31.8,31.7,25.9,6.48,0.44,17.5,Loamy,26.4,38.8,59.2,3.53,189.11,4.51,Sorghum
West Bengal,Darjeeling,42.5,51.4,57.6,6.75,0.41,21.9,Red Soil,24.0,48.7,72.9,4.1,233.43,8.25,Mirchi
Rajasthan,Banswara,30.5,17.0,27.4,6.11,0.35,41.9,Black Cotton,25.0,93.2,216.7,5.12,267.1,6.25,Coconut
Telangana,Rangareddy,67.3,40.1,68.9,6.23,0.46,24.3,Sandy,21.7,54.1,53.8,1.11,162.11,3.26,Onion
Tamil Nadu,Salem,25.3,65.9,27.0,6.45,0.37,27.6,Sandy,28.1,61.3,60.1,4.95,198.91,4.48,Urad
Uttar Pradesh,Barabanki,38.1,63.0,40.1,6.41,0.77,20.7,Red Soil,20.9,46.1,70.6,6.25,258.4,8.49,Mirchi
Telangana,Wanaparthy,48.0,56.9,46.5,6.55,0.35,21.3,Red Soil,24.2,47.4,54.4,4.38,183.12,5.58,Groundnut
West Bengal,Hooghly,49.8,64.4,35.4,6.47,0.65,29.4,Loamy,16.5,65.3,48.2,1.01,189.96,3.68,Wheat
Bihar,Kishanganj,84.3,41.2,41.3,6.49,0.54,36.6,Laterite,21.2,81.3,283.5,2.98,180.24,4.5,Rice
Tamil Nadu,Tiruppur,34.1,49.0,28.6,5.83,0.38,14.4,Laterite,16.9,32.0,35.6,1.81,169.27,3.13,Mustard
Tamil Nadu,Chennai,29.0,72.0,41.0,6.73,0.79,9.6,Laterite,24.1,21.4,42.6,2.36,157.91,2.69,Bengal Gram
West Bengal,Kalimpong,37.4,61.1,35.3,6.43,0.71,29.6,Laterite,23.0,65.8,70.4,3.3,186.07,4.55,Soybean
Uttar Pradesh,Chandauli,27.1,49.7,20.8,6.53,0.5,27.8,Laterite,29.3,61.7,64.3,5.08,198.13,5.85,Moong
West Bengal,Hooghly,26.1,61.8,43.2,7.18,0.41,15.4,Loamy,22.6,34.3,55.1,1.33,182.53,2.96,Bengal Gram
Andhra Pradesh,Kakinada,66.2,48.6,43.7,6.13,0.57,39.0,Clayey,24.5,86.6,186.1,4.08,215.76,5.56,Rice
West Bengal,Alipurduar,43.6,59.3,30.0,5.88,0.72,18.7,Loamy,29.6,41.5,66.8,3.79,193.83,4.16,Toor
Tamil Nadu,Kanyakumari,28.7,56.7,22.2,6.03,0.65,23.0,Silty,25.1,51.1,40.3,3.45,206.85,5.21,Moong
Telangana,Jangaon,19.2,33.0,18.2,5.98,0.47,10.2,Clayey,30.3,22.7,37.6,3.29,196.8,5.65,Ragi
Rajasthan,Alwar,117.2,47.2,23.2,7.3,0.59,35.5,Red Soil,26.1,78.9,80.9,3.82,205.79,5.24,Cotton
West Bengal,Nadia,26.3,21.9,32.9,6.16,0.67,44.5,Black Cotton,28.1,98.8,214.8,3.08,238.31,8.26,Coconut
West Bengal,Howrah,16.3,54.7,29.2,6.8,0.8,28.1,Clayey,28.1,62.5,51.1,2.96,208.47,5.31,Moong
Rajasthan,Baran,75.8,51.3,19.4,5.63,0.45,25.2,Laterite,19.8,56.0,62.0,4.37,203.75,4.64,Maize
Karnataka,Belagavi,40.9,34.7,36.1,6.46,0.64,26.6,Sandy,23.3,59.0,68.1,2.1,163.36,3.44,Tobacco
Punjab,Moga,109.7,72.9,51.3,6.75,0.52,35.7,Sandy,26.3,79.4,98.3,3.69,252.81,7.64,Banana
Tamil Nadu,Tirunelveli,24.4,34.5,21.3,5.21,0.37,12.1,Black Cotton,26.1,26.9,43.2,4.22,214.06,4.34,Ragi
Andhra Pradesh,Guntur,10.7,26.6,21.7,5.99,0.36,11.7,Silty,26.2,26.1,47.8,3.47,208.37,4.04,Ragi
Bihar,Purnia,49.7,54.9,68.6,7.0,0.77,27.6,Clayey,23.2,61.3,71.7,1.56,161.14,2.89,Tomato
Uttar Pradesh,Jhansi,14.3,35.9,14.9,7.38,0.37,11.9,Clayey,26.6,26.4,27.1,3.17,194.98,4.1,Bajra
Uttar Pradesh,Bhadohi,27.4,56.6,26.1,6.8,0.43,33.5,Red Soil,25.1,74.4,45.9,3.75,183.97,4.17,Urad
Uttar Pradesh,Kanpur Dehat,17.1,58.2,24.9,6.46,0.32,31.4,Sandy,25.0,69.7,58.6,3.41,216.49,5.98,Urad
Andhra Pradesh,Prakasam,55.6,66.3,44.2,6.96,0.74,19.9,Silty,28.6,44.3,65.5,3.49,249.45,6.27,Sunflower
West Bengal,Hooghly,25.1,62.0,22.6,6.31,0.69,29.0,Black Cotton,31.4,64.4,45.9,3.35,212.01,5.97,Urad
Andhra Pradesh,West Godavari,26.8,67.0,22.9,6.85,0.46,29.2,Laterite,31.4,65.0,72.8,5.08,208.06,4.51,Urad
Telangana,Komaram Bheem,28.3,46.6,27.9,6.61,0.4,23.5,Sandy,30.6,52.3,56.2,4.32,196.33,5.37,Moong
Punjab,Hoshiarpur,22.7,68.1,37.6,6.33,0.42,11.0,Black Cotton,18.4,24.4,33.3,1.28,176.39,3.66,Bengal Gram
Bihar,Nalanda,28.5,52.9,21.1,6.26,0.42,21.5,Silty,10.4,47.8,32.9,2.07,160.76,2.55,Mustard
Punjab,Tarntaran,35.8,60.7,33.1,5.69,0.71,20.0,Sandy,28.8,44.5,63.2,5.24,215.05,4.65,Toor
Uttar Pradesh,Gonda,28.0,28.9,13.8,6.51,0.35,13.0,Sandy,27.5,28.8,24.8,2.91,180.06,4.23,Bajra
Rajasthan,Udaipur,31.0,68.7,42.8,6.67,0.52,28.8,Black Cotton,21.8,64.0,72.1,1.61,150.56,2.86,Wheat
Andhra Pradesh,Kakinada,38.6,57.6,59.6,6.73,0.45,18.8,Black Cotton,21.2,41.7,75.7,4.82,260.32,6.68,Mirchi
Uttar Pradesh,Jhansi,72.3,37.0,41.6,5.61,0.41,38.2,Sandy,25.5,84.8,201.8,2.66,192.64,5.35,Rice
Andhra Pradesh,Prakasam,44.0,55.6,57.3,6.29,0.42,20.3,Clayey,27.1,45.2,56.0,3.32,243.59,6.62,Mirchi
Karnataka,Chikkamagaluru,83.8,50.5,19.1,6.86,0.6,26.6,Sandy,24.4,59.2,69.8,5.35,188.96,5.26,Maize
Andhra Pradesh,Nellore,12.4,30.7,19.3,7.03,0.65,9.6,Sandy,32.3,21.4,38.7,5.47,203.3,5.66,Bajra
Uttar Pradesh,Gorakhpur,37.4,47.7,28.1,6.87,0.48,16.2,Red Soil,12.3,36.0,54.3,1.95,150.22,3.85,Mustard
West Bengal,Uttar Dinajpur,18.4,27.0,10.8,6.4,0.55,11.0,Clayey,29.5,24.4,33.9,4.77,194.39,5.05,Bajra
Bihar,Madhepura,54.7,47.7,46.8,5.85,0.37,26.5,Clayey,23.4,58.8,79.7,2.38,181.92,3.18,Tobacco
Karnataka,Dakshina Kannada,64.2,44.8,45.0,5.65,0.78,28.7,Red Soil,21.0,63.8,41.2,1.39,169.79,3.99,Potato
Tamil Nadu,Tirunelveli,36.5,74.3,33.5,5.54,0.54,23.3,Black Cotton,25.1,51.7,72.9,4.23,219.56,4.78,Toor
Maharashtra,Nanded,46.4,40.1,34.9,6.47,0.6,26.7,Sandy,24.4,59.3,70.4,2.38,178.19,2.97,Tobacco
Telangana,Rangareddy,13.9,35.0,18.2,6.55,0.76,9.3,Loamy,32.2,20.6,36.5,5.03,183.48,5.74,Ragi
Punjab,Fazilka,52.4,32.1,46.9,5.98,0.49,28.4,Red Soil,24.8,63.0,60.7,1.58,186.49,2.71,Tobacco
Telangana,Karimnagar,34.6,53.4,41.5,6.73,0.71,26.5,Red Soil,18.0,58.8,64.6,1.56,176.34,3.67,Wheat
Tamil Nadu,Erode,30.5,54.5,22.1,6.8,0.33,17.5,Black Cotton,15.9,38.9,38.9,1.22,153.01,2.65,Mustard
Telangana,Suryapet,57.0,59.5,55.1,6.68,0.59,23.2,Red Soil,19.6,51.5,54.9,2.0,157.91,3.54,Onion
Andhra Pradesh,Guntur,25.3,61.4,24.1,6.31,0.56,24.0,Clayey,31.6,53.4,62.1,3.45,216.27,5.12,Moong
Karnataka,Raichur,52.3,63.1,42.8,7.05,0.48,24.8,Loamy,25.9,55.0,67.4,4.41,278.8,6.26,Sunflower
Maharashtra,Palghar,102.3,75.5,47.5,5.98,0.62,36.5,Clayey,26.3,81.1,117.5,3.41,242.59,8.0,Banana
Rajasthan,Sri Ganganagar,43.6,73.2,41.3,6.76,0.75,29.3,Loamy,29.9,65.1,93.1,3.04,215.03,4.62,Soybean
Telangana,Nagarkurnool,52.8,46.5,45.7,6.19,0.76,29.2,Loamy,23.0,64.9,69.7,1.16,165.18,3.95,Tobacco
Karnataka,Mysuru,44.6,44.6,28.3,6.51,0.38,19.0,Silty,30.1,42.3,54.4,2.22,196.49,4.88,Sorghum
West Bengal,Birbhum,46.9,50.9,43.5,6.84,0.74,25.8,Laterite,26.8,57.4,56.5,3.87,212.69,4.75,Groundnut
West Bengal,Murshidabad,59.2,65.7,36.1,7.21,0.34,18.8,Laterite,26.8,41.7,60.4,6.32,274.88,6.97,Sunflower
Rajasthan,Bikaner,44.7,47.7,43.5,6.13,0.44,21.7,Silty,28.0,48.2,88.3,2.98,181.93,4.25,Groundnut
West Bengal,Nadia,39.9,74.1,43.3,6.38,0.64,18.8,Red Soil,25.8,41.7,60.6,5.15,199.12,5.53,Soybean
West Bengal,South 24 Parganas,30.5,57.4,24.0,5.58,0.49,20.5,Black Cotton,10.7,45.5,58.4,1.84,167.19,2.89,Mustard
Bihar,Kishanganj,23.0,33.7,20.0,6.95,0.71,10.0,Silty,31.2,22.2,49.8,4.12,219.39,5.95,Ragi
Bihar,Kaimur,59.1,55.3,66.8,6.87,0.64,29.7,Sandy,19.0,66.0,73.4,1.57,158.42,3.67,Tomato
