state,district,N,P,K,pH,organic_carbon,soil_moisture,soil_type,temperature_c,humidity_pct,rainfall_mm,wind_speed_ms,solar_radiation_wm2,evapotranspiration_mm,crop
Uttar Pradesh,Raebareli,125.4,29.0,101.1,6.56,0.7,12.3,Loamy,26.3,71,0.0,1.77,348.0,2.42,Maize
Andhra Pradesh,Chittoor,287.5,16.0,193.5,6.48,0.57,34.0,Silty,32.6,81,181.2,1.56,493.6,2.89,Tobacco
Karnataka,Davanagere,291.9,30.1,114.1,6.84,1.15,42.9,Clayey,26.0,19,26.1,0.9,418.9,2.77,Maize
Tamil Nadu,Kancheepuram,181.0,25.7,87.2,6.84,0.94,26.6,Clayey,32.0,26,139.9,1.17,441.1,1.82,Tobacco
Karnataka,Bengaluru Rural,295.0,14.1,267.8,6.0,0.46,34.5,Sandy,24.6,60,71.0,0.28,440.8,4.52,Urad
Maharashtra,Buldhana,296.7,20.5,166.0,7.04,0.86,34.0,Red Soil,25.8,84,128.9,1.34,297.6,3.34,Wheat
Uttar Pradesh,Etawah,70.4,16.5,163.3,6.72,0.67,25.3,Black Cotton,17.0,48,140.8,0.51,457.1,3.54,Wheat
Maharashtra,Dhule,209.5,23.8,137.1,6.77,0.63,2.6,Silty,30.9,78,325.3,0.35,540.1,0.64,Bengal Gram
Bihar,Gaya,427.0,9.4,218.6,7.09,0.92,18.5,Sandy,33.7,21,38.5,2.02,405.6,4.92,Groundnut
Tamil Nadu,Erode,203.2,18.8,141.0,5.61,0.78,19.2,Red Soil,20.4,100,128.0,1.21,405.5,3.88,Sugarcane
Telangana,Kamareddy,138.6,28.4,195.5,6.42,1.0,31.8,Silty,21.1,62,227.2,1.53,136.1,1.72,Coconut
Andhra Pradesh,Anantapur,176.4,26.8,164.0,6.31,0.8,38.0,Clayey,26.3,84,89.2,0.21,432.4,1.21,Onion
Maharashtra,Nandurbar,221.6,12.8,190.5,6.73,1.19,37.6,Loamy,24.3,75,14.4,1.69,388.0,1.77,Maize
Maharashtra,Mumbai,259.7,15.2,185.8,7.47,1.0,24.5,Sandy,26.3,54,206.3,0.76,455.4,3.06,Wheat
West Bengal,Bankura,251.9,13.8,118.4,7.83,0.7,18.5,Black Cotton,23.0,46,0.0,1.36,474.6,3.41,Coconut
Andhra Pradesh,Guntur,302.8,23.1,134.1,6.18,1.08,45.7,Clayey,27.5,77,130.9,1.73,310.3,2.41,Urad
Punjab,Gurdaspur,224.0,31.4,214.8,6.46,1.24,19.3,Loamy,19.3,21,0.0,1.77,373.8,3.55,Moong
Punjab,Ludhiana,34.3,13.2,73.0,6.36,0.23,26.9,Loamy,30.6,58,144.9,0.84,263.4,3.0,Soybean
Bihar,Patna,295.4,21.8,186.3,6.69,0.76,21.0,Laterite,31.5,37,233.9,1.01,292.3,2.35,Cotton
West Bengal,Darjeeling,61.5,16.7,36.1,6.71,0.38,15.1,Red Soil,25.6,88,3.4,1.21,519.6,4.78,Bengal Gram
Maharashtra,Raigad,312.0,22.7,238.7,6.64,0.51,11.7,Red Soil,20.8,72,207.0,2.49,551.2,4.4,Wheat
Bihar,Sheikhpura,291.2,29.3,20.8,6.04,0.43,18.5,Silty,26.7,34,17.0,0.5,474.9,3.08,Rice
West Bengal,Kalimpong,210.8,25.1,104.0,6.48,0.98,56.1,Laterite,30.2,45,61.9,0.88,234.5,2.6,Maize
West Bengal,Howrah,189.1,20.3,146.8,6.87,0.84,5.9,Loamy,21.4,40,141.1,1.59,650.4,1.78,Sugarcane
Uttar Pradesh,Kanpur Dehat,67.2,12.9,259.3,6.92,0.66,19.8,Silty,27.4,69,212.6,0.88,256.6,3.19,Urad
Uttar Pradesh,Aligarh,316.7,22.9,158.3,6.22,1.1,41.6,Black Cotton,32.1,86,67.7,0.85,431.2,3.05,Urad
Punjab,Bathinda,208.9,30.5,149.6,6.28,0.42,30.5,Black Cotton,23.9,62,68.1,1.79,431.1,2.93,Ragi
Maharashtra,Mumbai Suburban,129.7,13.8,115.0,6.69,1.19,20.3,Laterite,33.2,98,68.5,0.94,406.7,3.07,Cotton
Bihar,Lakhisarai,222.3,15.9,185.2,6.66,0.71,16.3,Red Soil,26.8,81,109.9,1.22,500.8,3.58,Onion
Andhra Pradesh,West Godavari,100.8,30.4,207.8,6.74,1.14,29.5,Silty,28.8,88,199.1,0.61,526.0,2.2,Toor
Karnataka,Dakshina Kannada,19.4,33.9,151.0,7.27,1.25,23.5,Sandy,32.4,41,139.0,0.87,533.6,4.06,Onion
Andhra Pradesh,Prakasam,146.7,19.5,84.6,6.93,1.18,16.5,Loamy,26.9,77,102.2,1.59,456.2,1.73,Sugarcane
Maharashtra,Washim,324.7,1.8,130.3,6.82,1.13,20.8,Loamy,26.1,62,159.6,0.13,208.2,4.51,Banana
West Bengal,Kolkata,323.2,30.1,169.4,6.8,0.56,24.2,Red Soil,28.4,32,138.6,0.53,348.0,2.36,Mirchi
West Bengal,Nadia,241.1,32.2,152.2,6.88,0.81,35.1,Laterite,18.8,76,160.2,1.09,400.9,2.64,Sugarcane
Bihar,Nalanda,280.5,17.8,82.6,7.27,0.46,19.0,Sandy,23.6,73,218.5,1.08,477.6,3.51,Mustard
West Bengal,Birbhum,223.9,26.5,124.4,7.69,0.85,22.3,Loamy,23.7,80,178.0,0.85,519.2,1.19,Maize
Karnataka,Bagalkot,102.0,12.2,150.9,5.28,0.71,13.4,Red Soil,21.0,46,3.8,1.53,593.6,2.56,Sunflower
Telangana,Suryapet,260.1,11.2,262.4,7.11,0.41,15.7,Red Soil,17.9,46,169.0,0.91,505.3,1.17,Maize
Maharashtra,Thane,193.3,28.0,211.5,6.03,0.75,27.8,Silty,25.9,71,125.3,2.48,266.4,2.85,Sorghum
Karnataka,Chitradurga,384.3,21.3,50.9,6.18,0.69,14.8,Silty,30.4,75,0.0,1.71,633.2,5.28,Sorghum
Punjab,Fatehgarh Sahib,187.9,7.9,81.2,6.71,0.81,25.5,Sandy,34.0,30,308.6,2.02,410.9,3.47,Tomato
Bihar,Sheikhpura,64.0,6.9,263.0,6.5,0.31,36.8,Clayey,31.9,82,62.0,1.01,466.5,4.68,Mirchi
West Bengal,Cooch Behar,5.0,18.3,123.6,6.77,0.63,40.7,Clayey,30.4,33,74.4,2.27,366.3,2.94,Cotton
Uttar Pradesh,Raebareli,271.5,38.7,304.5,6.54,0.1,37.4,Silty,24.8,46,64.1,0.89,523.5,1.13,Sorghum
Maharashtra,Pune,146.9,29.9,293.3,5.64,0.57,15.0,Black Cotton,25.9,83,147.5,1.09,452.0,2.62,Onion
Uttar Pradesh,Baghpat,69.3,19.0,105.4,6.02,0.61,30.8,Silty,21.0,93,35.4,1.64,369.7,1.18,Tobacco
Bihar,Gopalganj,154.5,9.8,88.0,6.23,0.74,35.4,Black Cotton,27.3,69,112.7,0.42,452.1,3.16,Sunflower
Punjab,Gurdaspur,263.1,25.9,294.4,6.48,0.88,15.6,Clayey,24.5,54,176.5,0.68,598.2,1.69,Banana
Bihar,Araria,230.0,16.1,158.6,6.77,0.81,25.4,Silty,24.2,48,0.0,2.42,300.7,2.17,Rice
West Bengal,Alipurduar,120.0,22.8,188.6,6.86,0.89,22.3,Loamy,31.0,61,58.2,1.07,240.5,2.78,Ragi
Maharashtra,Pune,145.1,35.3,161.8,6.14,1.08,29.9,Clayey,19.9,51,125.1,0.31,460.2,3.19,Groundnut
Telangana,Jangaon,271.9,20.9,221.4,7.33,1.02,9.1,Clayey,25.9,76,89.2,0.1,383.8,0.27,Potato
Karnataka,Raichur,295.1,26.7,181.8,6.62,0.55,30.0,Black Cotton,27.5,96,0.0,0.69,259.6,2.74,Banana
Tamil Nadu,Tiruvannamalai,116.3,30.0,306.6,6.76,1.05,18.5,Silty,25.0,56,63.8,0.28,429.3,4.0,Tomato
Karnataka,Dakshina Kannada,239.5,10.2,81.0,6.02,0.83,18.7,Silty,29.0,9,22.9,0.41,419.2,2.35,Wheat
Andhra Pradesh,Srikakulam,164.6,12.2,253.6,6.18,0.8,41.3,Silty,23.3,56,45.1,0.97,454.7,4.61,Coconut
Bihar,Khagaria,174.4,10.6,118.0,7.81,0.87,14.7,Black Cotton,23.8,29,148.6,0.32,582.7,3.95,Coconut
Maharashtra,Buldhana,183.8,23.1,211.5,5.71,0.96,23.8,Silty,27.0,71,257.1,1.41,287.2,2.78,Mustard
Bihar,Sheohar,145.7,19.1,109.5,7.63,1.17,35.6,Black Cotton,21.0,76,116.9,2.06,488.7,2.99,Sunflower
Bihar,Lakhisarai,299.1,14.4,123.2,6.71,0.88,16.1,Black Cotton,30.0,70,116.0,0.9,401.2,2.76,Sunflower
Telangana,Mahabubnagar,191.0,2.2,167.0,6.66,0.69,26.9,Clayey,31.3,100,113.2,1.43,351.1,2.4,Mustard
Andhra Pradesh,Chittoor,132.8,7.1,157.5,6.23,1.03,32.5,Clayey,26.3,39,146.0,0.49,359.0,1.82,Ragi
Punjab,Moga,243.7,22.3,150.4,6.38,0.45,20.8,Sandy,25.6,46,85.5,1.48,676.3,3.21,Rice
Uttar Pradesh,Saharanpur,372.7,26.2,194.0,6.48,1.02,21.8,Loamy,28.1,44,193.5,1.4,687.9,5.87,Urad
Telangana,Bhadradri Kothagudem,216.5,17.0,104.2,6.75,0.51,29.2,Loamy,29.2,80,0.0,0.15,483.5,2.66,Sunflower
Bihar,Bhojpur,285.5,17.4,92.5,6.72,1.03,27.1,Laterite,23.8,68,63.8,1.72,628.0,0.1,Ragi
Rajasthan,Ajmer,293.3,30.7,80.8,6.25,0.67,51.3,Clayey,25.3,90,0.0,0.51,367.6,1.99,Bajra
West Bengal,Alipurduar,311.7,31.5,213.8,6.72,0.97,26.2,Red Soil,23.2,53,70.9,1.4,238.3,3.61,Tobacco
Maharashtra,Aurangabad,323.3,37.1,70.7,7.14,0.45,14.5,Red Soil,23.8,69,103.0,1.08,467.5,3.71,Toor
Bihar,Madhepura,304.8,15.3,237.8,5.82,0.85,12.7,Laterite,23.7,51,236.9,2.12,554.9,3.04,Sugarcane
Tamil Nadu,Tiruppur,146.3,23.8,146.7,6.39,0.6,7.3,Laterite,27.7,67,10.8,0.83,635.1,4.39,Mustard
Rajasthan,Barmer,94.6,20.9,226.5,6.8,1.07,11.3,Silty,25.3,43,254.6,1.65,791.6,2.44,Moong
Tamil Nadu,Krishnagiri,76.1,20.5,149.6,6.7,1.02,35.5,Clayey,20.6,59,281.0,1.28,350.2,2.9,Sunflower
Andhra Pradesh,Nandyal,124.2,28.0,170.1,6.43,0.94,41.4,Red Soil,26.1,61,117.3,2.87,198.1,3.82,Maize
Uttar Pradesh,Chandauli,161.4,13.3,298.5,6.99,0.2,19.3,Loamy,19.8,43,0.0,1.1,313.0,3.07,Sorghum
Rajasthan,Udaipur,259.6,20.8,220.7,6.11,0.74,26.1,Black Cotton,21.3,28,98.1,2.14,407.7,2.74,Banana
Tamil Nadu,Thiruvarur,308.5,8.7,120.4,7.01,0.88,24.5,Red Soil,28.0,63,0.0,0.96,644.0,2.21,Bajra
West Bengal,Cooch Behar,134.8,31.3,55.8,6.83,0.72,23.3,Silty,34.4,37,153.5,1.59,852.5,1.71,Soybean
Rajasthan,Bundi,231.0,16.0,157.1,6.41,0.45,26.8,Black Cotton,21.7,63,223.7,1.0,309.4,2.85,Ragi
Maharashtra,Thane,229.1,7.1,214.3,6.17,1.27,35.8,Silty,25.2,83,106.1,1.8,508.2,1.98,Rice
Uttar Pradesh,Mahoba,256.5,12.3,125.5,6.84,0.86,25.0,Red Soil,24.4,34,71.9,1.14,273.8,3.06,Coconut
Punjab,SBS Nagar,174.6,16.7,157.0,6.61,0.91,20.6,Red Soil,29.1,68,64.4,0.1,343.8,4.88,Mirchi
West Bengal,Darjeeling,159.1,17.3,260.3,6.48,0.62,16.2,Red Soil,28.3,36,77.7,1.43,605.9,3.8,Sorghum
Telangana,Sangareddy,211.7,5.2,137.7,7.33,0.81,27.3,Clayey,22.0,49,66.2,0.98,603.8,3.67,Rice
Telangana,Jayashankar Bhoopalpally,290.0,17.2,24.5,6.48,0.42,46.8,Silty,23.1,57,123.2,1.0,415.2,3.51,Ragi
Tamil Nadu,Thanjavur,99.2,18.0,136.4,6.77,0.86,13.0,Red Soil,31.3,64,117.9,1.19,387.9,3.26,Maize
Rajasthan,Bharatpur,144.9,15.1,130.2,7.03,0.51,21.4,Black Cotton,30.8,55,141.4,1.1,480.8,2.73,Sorghum
Rajasthan,Pali,193.4,14.5,117.7,5.85,1.08,41.0,Red Soil,30.9,83,69.0,0.75,356.6,3.77,Ragi
Punjab,Faridkot,384.9,9.2,104.1,6.45,0.78,28.8,Silty,25.1,68,202.8,2.09,417.9,3.73,Cotton
Punjab,Bathinda,125.8,16.2,213.2,5.99,0.67,25.7,Clayey,28.0,51,170.8,1.61,586.8,2.9,Urad
Punjab,SBS Nagar,334.7,13.7,187.1,7.18,0.67,30.3,Loamy,22.9,100,184.3,1.07,357.3,2.86,Bajra
Uttar Pradesh,Rampur,206.9,27.4,153.6,5.81,0.71,34.0,Sandy,26.0,81,59.2,1.7,236.1,2.73,Onion
West Bengal,Jhargram,241.8,15.2,68.4,6.54,1.08,30.8,Silty,28.8,51,116.8,0.62,399.2,3.43,Coconut
Uttar Pradesh,Mainpuri,367.7,28.7,98.8,6.92,0.72,37.2,Sandy,25.1,41,28.4,0.68,349.2,2.31,Bengal Gram
Bihar,Vaishali,295.3,23.6,198.5,5.53,0.92,25.8,Sandy,28.5,50,203.6,1.38,360.6,2.32,Onion
Tamil Nadu,Chennai,321.6,8.8,245.0,6.43,0.9,20.0,Black Cotton,30.7,67,26.7,0.38,274.8,3.23,Bajra
Tamil Nadu,Kancheepuram,161.1,15.4,275.6,6.54,0.67,25.6,Silty,18.9,44,32.6,0.49,598.1,3.79,Tobacco
Telangana,Medchal Malkajgiri,259.0,26.9,160.1,6.67,0.82,31.9,Silty,28.3,61,75.8,1.26,508.2,3.32,Sorghum
Rajasthan,Bhilwara,249.1,16.2,149.6,6.22,1.04,30.5,Laterite,28.2,61,327.8,1.09,366.4,1.59,Banana
Punjab,Patiala,241.8,23.1,73.1,6.52,0.96,13.5,Loamy,31.4,53,213.2,0.83,326.8,2.45,Sorghum
West Bengal,Darjeeling,160.2,7.5,243.7,6.99,0.89,34.2,Red Soil,34.7,50,0.0,1.66,274.0,3.05,Mirchi
Rajasthan,Banswara,169.9,21.0,122.7,6.7,1.05,30.4,Black Cotton,34.2,97,73.9,0.39,415.3,3.14,Coconut
Telangana,Rangareddy,194.6,16.8,277.2,7.3,0.82,37.1,Sandy,25.4,34,147.5,1.45,337.5,1.93,Onion
Tamil Nadu,Salem,179.0,13.9,171.5,6.31,0.66,20.5,Sandy,24.3,64,0.0,1.41,531.2,2.3,Urad
Uttar Pradesh,Barabanki,196.1,26.1,116.2,7.1,0.61,32.1,Red Soil,24.3,70,8.7,1.18,608.7,3.14,Mirchi
Telangana,Wanaparthy,174.0,12.5,252.9,6.56,0.46,21.8,Red Soil,28.0,48,8.7,1.05,322.3,3.76,Groundnut
West Bengal,Hooghly,162.6,17.9,232.6,6.6,0.67,29.8,Loamy,22.6,72,136.8,0.98,349.4,1.94,Wheat
Bihar,Kishanganj,162.5,18.1,171.8,7.24,1.01,23.4,Laterite,26.9,42,98.3,1.0,488.7,2.01,Rice
Tamil Nadu,Tiruppur,362.6,23.9,143.8,7.02,0.62,13.4,Laterite,26.5,62,147.8,0.17,395.2,0.1,Mustard
Tamil Nadu,Chennai,186.0,23.7,141.7,7.4,0.95,15.8,Laterite,25.1,61,216.9,2.19,402.5,1.88,Bengal Gram
West Bengal,Kalimpong,107.4,14.5,218.6,7.29,0.86,19.2,Laterite,33.6,59,45.5,0.66,306.6,6.4,Soybean
Uttar Pradesh,Chandauli,168.0,31.2,114.9,6.23,0.73,18.8,Laterite,30.3,65,55.8,1.67,417.0,2.61,Moong
West Bengal,Hooghly,327.4,30.5,65.3,6.82,0.79,18.9,Loamy,19.4,42,163.7,1.77,424.7,3.98,Bengal Gram
Andhra Pradesh,Kakinada,216.4,22.2,133.1,6.68,0.49,39.4,Clayey,26.7,80,130.8,1.52,518.4,3.54,Rice
West Bengal,Alipurduar,215.7,8.3,211.0,6.87,0.63,32.1,Loamy,28.5,37,23.1,2.0,487.1,2.32,Toor
Tamil Nadu,Kanyakumari,340.9,22.4,66.1,7.01,1.11,26.0,Silty,35.1,75,161.4,0.64,525.3,3.26,Moong
Telangana,Jangaon,148.5,34.3,5.0,6.43,1.09,24.1,Clayey,25.4,62,68.2,1.22,368.0,4.33,Ragi
Rajasthan,Alwar,317.0,26.6,194.4,6.44,0.91,4.0,Red Soil,32.3,5,60.2,0.1,389.9,2.91,Cotton
West Bengal,Nadia,112.8,23.8,159.0,5.7,0.64,28.1,Black Cotton,27.5,82,0.0,1.19,329.8,3.13,Coconut
West Bengal,Howrah,184.7,14.2,29.1,6.91,0.21,24.9,Clayey,26.2,100,0.0,0.57,433.7,2.76,Moong
Rajasthan,Baran,229.3,8.4,211.6,5.78,0.88,16.9,Laterite,25.5,69,146.9,2.14,440.1,3.37,Maize
Karnataka,Belagavi,180.8,13.9,174.9,5.8,0.86,10.9,Sandy,21.4,35,0.0,1.71,536.7,2.8,Tobacco
Punjab,Moga,223.3,23.9,212.8,6.57,0.89,26.8,Sandy,28.8,60,290.5,1.6,473.7,2.11,Banana
Tamil Nadu,Tirunelveli,188.0,19.5,86.8,6.33,0.71,18.6,Black Cotton,27.5,54,145.2,0.1,436.4,3.16,Ragi
Andhra Pradesh,Guntur,118.4,30.8,107.1,6.33,1.16,13.8,Silty,24.1,46,245.6,2.6,540.2,3.94,Ragi
Bihar,Purnia,200.7,26.2,220.3,5.76,0.56,8.2,Clayey,23.5,37,148.5,1.36,431.5,3.03,Tomato
Uttar Pradesh,Jhansi,245.0,27.7,61.6,5.54,0.66,43.0,Clayey,35.1,93,82.6,0.1,168.8,2.26,Bajra
Uttar Pradesh,Bhadohi,53.6,6.2,175.2,6.52,0.75,21.3,Red Soil,35.0,45,183.5,1.2,442.7,4.41,Urad
Uttar Pradesh,Kanpur Dehat,163.7,25.0,138.9,6.82,0.16,16.6,Sandy,29.2,54,176.1,0.1,537.7,2.23,Urad
Andhra Pradesh,Prakasam,20.3,9.4,129.4,5.48,0.95,28.1,Silty,23.0,60,172.6,0.27,297.2,2.6,Sunflower
West Bengal,Hooghly,304.0,20.4,142.2,6.98,1.05,1.0,Black Cotton,29.6,61,0.0,1.82,719.5,3.67,Urad
Andhra Pradesh,West Godavari,179.4,17.5,118.7,6.36,0.91,5.3,Laterite,26.7,66,48.7,0.86,396.0,2.43,Urad
Telangana,Komaram Bheem,53.4,32.2,5.0,6.37,0.51,16.2,Sandy,32.5,64,13.1,0.79,358.1,2.95,Moong
Punjab,Hoshiarpur,116.5,16.7,201.3,6.8,1.08,10.1,Black Cotton,27.9,86,220.0,1.45,731.8,3.73,Bengal Gram
Bihar,Nalanda,277.9,14.4,157.4,6.14,0.53,16.0,Silty,30.8,60,214.5,1.56,642.8,3.98,Mustard
Punjab,Tarntaran,290.1,12.2,219.9,6.3,1.1,14.7,Sandy,26.5,51,195.0,0.83,444.9,3.61,Toor
Uttar Pradesh,Gonda,238.3,19.2,110.6,6.03,1.08,25.3,Sandy,33.2,51,60.9,1.77,255.2,1.54,Bajra
Rajasthan,Udaipur,247.7,42.6,21.2,6.48,0.96,26.2,Black Cotton,26.5,37,121.0,0.67,187.2,4.43,Wheat
Andhra Pradesh,Kakinada,375.2,19.4,179.5,6.5,0.77,27.8,Black Cotton,22.3,25,80.8,0.58,515.7,3.52,Mirchi
Uttar Pradesh,Jhansi,240.8,27.0,63.4,5.84,0.93,28.0,Sandy,28.0,66,38.8,1.36,485.2,2.14,Rice
Andhra Pradesh,Prakasam,468.3,24.3,71.6,7.24,0.85,46.1,Clayey,25.0,83,100.0,3.06,416.2,6.6,Mirchi
Karnataka,Chikkamagaluru,150.9,18.9,86.3,6.85,0.71,12.0,Sandy,28.8,34,24.6,0.27,279.1,3.21,Maize
Andhra Pradesh,Nellore,223.7,26.7,254.6,6.6,0.75,5.2,Sandy,27.1,61,157.5,0.7,397.8,1.23,Bajra
Uttar Pradesh,Gorakhpur,205.1,28.8,228.9,6.7,1.05,3.9,Red Soil,26.1,5,0.0,0.82,370.2,3.05,Mustard
West Bengal,Uttar Dinajpur,189.0,26.4,101.7,5.79,0.48,10.4,Clayey,31.0,33,124.7,1.01,437.7,4.64,Bajra
Bihar,Madhepura,177.4,25.3,218.5,5.87,1.17,29.0,Clayey,30.8,78,128.1,1.51,512.1,2.57,Tobacco
Karnataka,Dakshina Kannada,297.5,25.8,215.7,5.37,0.58,14.0,Red Soil,22.2,60,0.0,0.54,438.2,1.08,Potato
Tamil Nadu,Tirunelveli,155.5,26.8,150.1,6.68,0.8,31.4,Black Cotton,16.7,34,137.5,0.23,386.3,2.93,Toor
Maharashtra,Nanded,297.2,24.7,243.4,6.32,1.14,17.3,Sandy,19.0,35,70.1,1.38,451.9,3.94,Tobacco
Telangana,Rangareddy,264.5,25.5,106.9,7.43,0.81,28.0,Loamy,24.4,43,143.0,1.35,355.3,1.27,Ragi
Punjab,Fazilka,174.5,21.7,98.6,6.39,0.67,17.4,Red Soil,29.5,78,194.8,1.37,626.3,2.19,Tobacco
Telangana,Karimnagar,172.9,11.6,137.5,6.04,0.7,28.4,Red Soil,28.4,44,56.1,1.95,509.6,5.49,Wheat
Tamil Nadu,Erode,234.6,12.8,30.3,7.39,0.22,6.6,Black Cotton,34.2,60,0.0,1.68,542.8,1.4,Mustard
Telangana,Suryapet,234.9,30.0,223.2,6.42,0.78,21.2,Red Soil,32.1,43,34.9,1.01,312.2,2.29,Onion
Andhra Pradesh,Guntur,56.5,27.9,106.6,6.12,0.87,10.1,Clayey,23.7,45,80.1,0.64,642.1,5.16,Moong
Karnataka,Raichur,206.5,10.6,184.8,6.17,0.78,12.3,Loamy,22.9,73,110.4,0.66,464.3,2.27,Sunflower
Maharashtra,Palghar,449.7,10.0,179.7,6.65,0.88,38.3,Clayey,28.5,22,0.0,0.45,360.2,2.83,Banana
Rajasthan,Sri Ganganagar,240.0,16.8,94.5,7.03,0.52,18.2,Loamy,29.3,73,0.0,1.61,465.5,1.9,Soybean
Telangana,Nagarkurnool,178.3,15.7,241.7,5.87,1.05,8.8,Loamy,33.4,17,141.9,0.74,430.0,2.84,Tobacco
Karnataka,Mysuru,160.0,1.0,182.1,5.95,1.05,21.2,Silty,29.4,85,0.0,0.8,440.9,4.85,Sorghum
West Bengal,Birbhum,197.0,28.7,193.7,6.51,0.84,25.1,Laterite,25.3,60,144.2,1.11,500.4,2.0,Groundnut
West Bengal,Murshidabad,305.2,22.0,203.1,6.72,0.72,15.0,Laterite,28.1,62,182.4,1.09,414.3,2.72,Sunflower
Rajasthan,Bikaner,328.6,16.5,222.6,6.62,1.08,30.7,Silty,28.1,68,123.0,1.41,430.9,2.7,Groundnut
West Bengal,Nadia,390.6,38.3,143.4,7.07,0.7,35.1,Red Soil,26.3,37,0.0,1.01,483.5,4.6,Soybean
West Bengal,South 24 Parganas,191.5,33.7,301.9,6.33,1.06,17.9,Black Cotton,24.6,53,161.6,0.45,636.0,4.13,Mustard
Bihar,Kishanganj,33.1,23.9,141.5,6.33,0.85,10.7,Silty,34.7,58,86.9,0.52,452.9,4.66,Ragi
Bihar,Kaimur,252.2,29.9,115.1,6.24,0.7,18.7,Sandy,31.8,46,47.1,1.42,477.6,2.51,Tomato
Karnataka,Tumakuru,349.0,28.1,131.2,6.05,0.26,17.8,Red Soil,26.2,42,88.2,1.25,423.0,2.22,Rice
Uttar Pradesh,Hardoi,50.8,16.1,101.3,6.07,0.64,19.4,Laterite,21.2,51,6.2,1.75,489.6,3.4,Potato
Telangana,Yadadri Bhuvanagiri,94.2,10.5,219.6,6.63,0.77,19.9,Sandy,28.9,45,127.5,0.69,342.3,2.24,Sorghum
Andhra Pradesh,Guntur,148.9,17.7,154.8,6.42,0.73,27.3,Sandy,29.1,39,77.3,0.18,430.5,3.18,Cotton
Telangana,Jayashankar Bhoopalpally,290.7,18.1,90.2,5.89,0.98,34.2,Black Cotton,24.5,56,104.2,2.47,457.8,1.82,Potato
